5,3,1,0
5,3,1,0
5,3,2,0
5,4,1,0
5,4,2,0
5,3,1,0
5,3,2,0
4,3,1,0
5,3,2,0
5,4,2,0
5,3,2,0
5,3,1,0
4,3,1,0
6,4,1,0
6,4,2,0
5,4,1,0
5,4,1,0
6,4,2,0
5,4,2,0
5,3,2,0
5,4,2,0
5,4,1,0
5,3,2,1
5,3,2,0
5,3,2,0
5,3,2,0
5,4,2,0
5,3,1,0
5,3,2,0
5,3,2,0
5,3,2,0
5,4,2,0
6,4,1,0
5,3,2,0
5,3,1,0
6,4,1,0
5,4,1,0
4,3,1,0
5,3,2,0
5,4,1,0
5,2,1,0
4,3,1,0
5,4,2,1
5,4,2,0
5,3,1,0
5,4,2,0
5,3,1,0
5,4,2,0
5,3,1,0
7,3,5,1
6,3,5,2
7,3,5,2
6,2,4,1
7,3,5,2
6,3,5,1
6,3,5,2
5,2,3,1
7,3,5,1
5,3,4,1
5,2,4,1
6,3,4,2
6,2,4,1
6,3,5,1
6,3,4,1
7,3,4,1
6,3,5,2
6,3,4,1
6,2,5,2
6,3,4,1
6,3,5,2
6,3,4,1
6,3,5,2
6,3,5,1
6,3,4,1
7,3,4,1
7,3,5,1
7,3,5,2
6,3,5,2
6,3,4,1
6,2,4,1
6,2,4,1
6,3,4,1
6,3,5,2
5,3,5,2
6,3,5,2
7,3,5,2
6,2,4,1
6,3,4,1
6,3,4,1
6,3,4,1
6,3,5,1
6,3,4,1
5,2,3,1
6,3,4,1
6,3,4,1
6,3,4,1
6,3,4,1
5,3,3,1
6,3,4,1
6,3,6,3
6,3,5,2
7,3,6,2
6,3,6,2
7,3,6,2
8,3,7,2
5,3,5,2
7,3,6,2
7,3,6,2
7,4,6,3
7,3,5,2
6,3,5,2
7,3,6,2
6,3,5,2
6,3,5,2
6,3,5,2
7,3,6,2
8,4,7,2
8,3,7,2
6,2,5,2
7,3,6,2
6,3,5,2
8,3,7,2
6,3,5,2
7,3,6,2
7,3,6,2
6,3,5,2
6,3,5,2
6,3,6,2
7,3,6,2
7,3,6,2
8,4,6,2
6,3,6,2
6,3,5,2
6,3,6,1
6,3,6,2
6,3,6,2
6,3,5,2
7,3,5,2
7,3,6,2
7,3,5,2
6,3,5,2
7,3,6,2
7,3,6,3
7,3,5,2
6,3,5,2
7,3,5,2
6,3,5,2
6,3,5,2
5,3,1,0
5,3,1,0
5,3,2,0
5,4,1,0
5,4,2,0
5,3,1,0
5,3,2,0
4,3,1,0
5,3,2,0
5,4,2,0
5,3,2,0
5,3,1,0
4,3,1,0
6,4,1,0
6,4,2,0
5,4,1,0
5,4,1,0
6,4,2,0
5,4,2,0
5,3,2,0
5,4,2,0
5,4,1,0
5,3,2,1
5,3,2,0
5,3,2,0
5,3,2,0
5,4,2,0
5,3,1,0
5,3,2,0
5,3,2,0
5,3,2,0
5,4,2,0
6,4,1,0
5,3,2,0
5,3,1,0
6,4,1,0
5,4,1,0
4,3,1,0
5,3,2,0
5,4,1,0
5,2,1,0
4,3,1,0
5,4,2,1
5,4,2,0
5,3,1,0
5,4,2,0
5,3,1,0
5,4,2,0
5,3,1,0
7,3,5,1
6,3,5,2
7,3,5,2
6,2,4,1
7,3,5,2
6,3,5,1
6,3,5,2
5,2,3,1
7,3,5,1
5,3,4,1
5,2,4,1
6,3,4,2
6,2,4,1
6,3,5,1
6,3,4,1
7,3,4,1
6,3,5,2
6,3,4,1
6,2,5,2
6,3,4,1
6,3,5,2
6,3,4,1
6,3,5,2
6,3,5,1
6,3,4,1
7,3,4,1
7,3,5,1
7,3,5,2
6,3,5,2
6,3,4,1
6,2,4,1
6,2,4,1
6,3,4,1
6,3,5,2
5,3,5,2
6,3,5,2
7,3,5,2
6,2,4,1
6,3,4,1
6,3,4,1
6,3,4,1
6,3,5,1
6,3,4,1
5,2,3,1
6,3,4,1
6,3,4,1
6,3,4,1
6,3,4,1
5,3,3,1
6,3,4,1
6,3,6,3
6,3,5,2
7,3,6,2
6,3,6,2
7,3,6,2
8,3,7,2
5,3,5,2
7,3,6,2
7,3,6,2
7,4,6,3
7,3,5,2
6,3,5,2
7,3,6,2
6,3,5,2
6,3,5,2
6,3,5,2
7,3,6,2
8,4,7,2
8,3,7,2
6,2,5,2
7,3,6,2
6,3,5,2
8,3,7,2
6,3,5,2
7,3,6,2
7,3,6,2
6,3,5,2
6,3,5,2
6,3,6,2
7,3,6,2
7,3,6,2
8,4,6,2
6,3,6,2
6,3,5,2
6,3,6,1
6,3,6,2
6,3,6,2
6,3,5,2
7,3,5,2
7,3,6,2
7,3,5,2
6,3,5,2
7,3,6,2
7,3,6,3
7,3,5,2
6,3,5,2
7,3,5,2
6,3,5,2
6,3,5,2
5,3,1,0
5,3,1,0
5,3,2,0
5,4,1,0
5,4,2,0
5,3,1,0
5,3,2,0
4,3,1,0
5,3,2,0
5,4,2,0
5,3,2,0
5,3,1,0
4,3,1,0
6,4,1,0
6,4,2,0
5,4,1,0
5,4,1,0
6,4,2,0
5,4,2,0
5,3,2,0
5,4,2,0
5,4,1,0
5,3,2,1
5,3,2,0
5,3,2,0
5,3,2,0
5,4,2,0
5,3,1,0
5,3,2,0
5,3,2,0
5,3,2,0
5,4,2,0
6,4,1,0
5,3,2,0
5,3,1,0
6,4,1,0
5,4,1,0
4,3,1,0
5,3,2,0
5,4,1,0
5,2,1,0
4,3,1,0
5,4,2,1
5,4,2,0
5,3,1,0
5,4,2,0
5,3,1,0
